customer_id,signup_date,country,city,birth_year,gender,acquisition_channel,newsletter_opt_in,loyalty_tier
C000001,2022-05-09,Germany,Hamburg,1955,male,social_media,True,Silver
C000002,2025-01-23,Germany,Dusseldorf,1998,female,social_media,True,Silver
C000003,2024-08-03,Germany,Bonn,1961,male,direct,True,Bronze
C000004,2023-09-27,Germany,Dortmund,1993,female,organic_search,True,Bronze
C000005,2023-09-18,Germany,Cologne,1955,male,social_media,False,Silver
C000006,2025-05-25,Germany,Muenster,2000,female,organic_search,True,Bronze
C000007,2022-05-05,Germany,Cologne,1967,male,organic_search,True,Bronze
C000008,2024-10-04,Switzerland,Zurich,2004,male,email,False,Bronze
C000009,2022-10-19,Germany,Leipzig,1979,female,organic_search,True,Bronze
C000010,2022-05-17,Germany,Munich,1984,not_specified,paid_search,False,Bronze
C000011,2024-01-31,Germany,Dresden,1979,female,direct,True,Silver
C000012,2025-11-10,Germany,Dortmund,1993,female,referral,True,Silver
C000013,2024-11-29,Germany,Wiesbaden,1966,male,direct,True,Bronze
C000014,2025-01-04,Germany,Cologne,1980,male,paid_search,False,Bronze
C000015,2024-11-02,Switzerland,Geneva,1967,male,direct,True,Bronze
C000016,2025-02-09,Germany,Nuremberg,1995,male,email,False,Bronze
C000017,2024-01-12,Germany,Nuremberg,1999,male,organic_search,False,Bronze
C000018,2022-07-05,Austria,Linz,1982,female,email,False,Platinum
C000019,2025-04-28,Germany,Wiesbaden,1987,female,organic_search,True,Bronze
C000020,2023-10-13,Germany,Karlsruhe,1993,female,social_media,True,Silver
C000021,2023-12-25,Germany,Hanover,1976,female,organic_search,False,Bronze
C000022,2023-06-20,Germany,Bonn,1969,not_specified,organic_search,True,Bronze
C000023,2022-09-21,Germany,Bremen,2004,male,direct,False,Bronze
C000024,2025-09-01,Switzerland,Lausanne,1990,female,referral,False,Silver
C000025,2025-02-03,Germany,Bremen,1956,male,paid_search,True,Bronze
C000026,2024-07-19,Germany,Karlsruhe,1985,female,referral,True,Silver
C000027,2023-08-05,Switzerland,Zurich,1978,male,organic_search,False,Silver
C000028,2025-04-03,Germany,Munich,1967,female,affiliate,False,Bronze
C000029,2024-02-28,Austria,Salzburg,1996,male,paid_search,False,Bronze
C000030,2023-10-03,Germany,Dresden,1990,female,email,True,Bronze
C000031,2023-10-13,Germany,Cologne,1979,female,paid_search,True,Bronze
C000032,2022-11-25,Germany,Hanover,1974,female,social_media,False,Silver
C000033,2022-05-14,Germany,Berlin,1966,female,organic_search,True,Bronze
C000034,2024-03-12,Germany,Frankfurt,1987,female,direct,False,Gold
C000035,2025-07-07,Switzerland,Lausanne,1999,female,email,True,Bronze
C000036,2022-04-03,Switzerland,Zurich,1989,female,organic_search,False,Bronze
C000037,2025-05-25,Austria,Innsbruck,1955,female,organic_search,False,Bronze
C000038,2025-04-10,Germany,Bremen,1989,female,organic_search,True,Bronze
C000039,2023-02-04,Germany,Dresden,1977,female,organic_search,True,Gold
C000040,2024-07-01,Germany,Bremen,1990,male,organic_search,False,Bronze
C000041,2022-08-27,Germany,Nuremberg,1974,male,affiliate,False,Silver
C000042,2024-12-31,Germany,Nuremberg,1976,female,email,False,Bronze
C000043,2024-10-09,Germany,Nuremberg,1978,female,social_media,True,Bronze
C000044,2023-05-28,Germany,Frankfurt,1987,male,email,False,Bronze
C000045,2022-04-09,Germany,Nuremberg,1998,female,email,False,Silver
C000046,2025-11-03,Germany,Cologne,2002,male,social_media,True,Bronze
C000047,2023-10-07,Germany,Berlin,1964,female,referral,True,Bronze
C000048,2025-07-14,Germany,Muenster,1958,female,email,False,Silver
C000049,2024-09-06,Switzerland,Geneva,1998,female,organic_search,False,Gold
C000050,2025-01-29,Germany,Munich,1995,female,organic_search,True,Bronze
C000051,2025-01-03,Germany,Dusseldorf,1969,male,organic_search,False,Silver
C000052,2022-10-09,Germany,Muenster,1961,male,organic_search,False,Bronze
C000053,2023-06-10,Germany,Augsburg,1961,female,organic_search,True,Silver
C000054,2023-11-06,Germany,Bonn,1979,male,social_media,True,Bronze
C000055,2023-12-21,Austria,Graz,1969,female,organic_search,True,Silver
C000056,2022-03-05,Germany,Hanover,1963,female,email,False,Bronze
C000057,2024-02-29,Germany,Karlsruhe,1997,female,affiliate,True,Gold
C000058,2022-08-11,Germany,Dusseldorf,1995,male,paid_search,False,Gold
C000059,2024-12-10,Germany,Stuttgart,1982,male,organic_search,True,Bronze
C000060,2024-09-14,Switzerland,,1956,female,email,True,Bronze
C000061,2025-08-26,Austria,Vienna,1962,female,paid_search,True,Bronze
C000062,2024-12-12,Germany,Wiesbaden,1991,female,paid_search,True,Silver
C000063,2023-06-14,Austria,Salzburg,1974,female,affiliate,True,Bronze
C000064,2025-10-30,Germany,Bonn,1975,male,paid_search,False,Bronze
C000065,2023-08-17,Germany,Leipzig,1997,male,paid_search,False,Bronze
C000066,2023-04-16,Switzerland,Bern,1968,male,organic_search,False,Silver
C000067,2025-08-01,Germany,Wiesbaden,2005,female,referral,True,Bronze
C000068,2023-06-20,Switzerland,Lausanne,2004,male,email,True,Silver
C000069,2022-04-21,Germany,Frankfurt,1986,male,organic_search,True,Bronze
C000070,2023-11-10,Germany,Hamburg,1970,male,referral,True,Gold
C000071,2025-02-23,Germany,Wiesbaden,2006,female,direct,True,Bronze
C000072,2022-10-01,Switzerland,Lucerne,1966,male,social_media,True,Bronze
C000073,2023-10-31,Germany,Nuremberg,2000,male,organic_search,True,Bronze
C000074,2022-07-07,Austria,Vienna,1977,male,email,False,Silver
C000075,2024-09-18,Germany,Augsburg,1999,female,referral,False,Silver
C000076,2023-11-19,Germany,Essen,1970,female,direct,False,Bronze
C000077,2023-04-23,Germany,Frankfurt,1992,not_specified,paid_search,False,Bronze
C000078,2022-11-24,Germany,Leipzig,1992,male,paid_search,False,Silver
C000079,2024-03-26,Germany,Wiesbaden,1974,male,social_media,False,Silver
C000080,2024-08-25,Germany,Mannheim,1956,female,email,False,Silver
C000081,2025-09-20,Germany,Dresden,1970,male,social_media,True,Bronze
C000082,2023-09-24,Germany,Bonn,1990,male,referral,False,Gold
C000083,2022-08-21,Germany,Karlsruhe,1996,female,email,True,Platinum
C000084,2025-04-18,Switzerland,Bern,1976,female,direct,False,Bronze
C000085,2024-06-29,Germany,Dusseldorf,2001,female,organic_search,False,Silver
C000086,2024-10-08,Austria,Vienna,1995,female,paid_search,True,Silver
C000087,2022-05-21,Germany,Munich,1960,female,organic_search,False,Bronze
C000088,2023-03-28,Austria,Graz,1972,female,direct,False,Bronze
C000089,2025-01-14,Germany,Mannheim,1982,female,referral,True,Silver
C000090,2025-04-17,Germany,Hamburg,1955,male,direct,False,Silver
C000091,2023-09-21,Germany,Munich,1969,female,referral,True,Gold
C000092,2025-03-08,Germany,Muenster,1994,male,social_media,False,Platinum
C000093,2025-05-01,Germany,Dortmund,,female,referral,False,Bronze
C000094,2023-07-14,Germany,Munich,,male,paid_search,True,Silver
C000095,2025-07-21,Austria,Villach,1986,female,paid_search,True,Gold
C000096,2023-02-21,Germany,Muenster,1979,female,direct,True,Gold
C000097,2022-12-13,Germany,Bremen,1999,male,organic_search,True,Bronze
C000098,2024-09-13,Switzerland,Zurich,1998,male,organic_search,True,Bronze
C000099,2024-07-09,Germany,Hanover,2004,male,social_media,False,Gold
C000100,2022-07-21,Germany,Augsburg,2003,male,organic_search,True,Gold
C000101,2025-04-18,Switzerland,Lucerne,1993,not_specified,social_media,False,Gold
C000102,2022-10-16,Germany,Dresden,1967,female,referral,True,Bronze
C000103,2025-03-09,Switzerland,Lucerne,1967,not_specified,paid_search,False,Bronze
C000104,2022-01-11,Austria,Klagenfurt,1998,male,paid_search,True,Silver
C000105,2025-02-25,Germany,Cologne,1991,female,paid_search,True,Bronze
C000106,2025-02-11,Germany,Hanover,1995,female,social_media,True,Bronze
C000107,2025-02-01,Germany,Nuremberg,1969,male,affiliate,False,Bronze
C000108,2024-08-18,Switzerland,Winterthur,2003,male,organic_search,True,Bronze
C000109,2023-11-13,Austria,Salzburg,1963,male,email,True,Bronze
C000110,2024-10-15,Germany,Bonn,1997,male,email,False,Bronze
C000111,2023-02-05,Germany,Dresden,1972,female,email,False,Silver
C000112,2025-02-02,Germany,Stuttgart,1959,male,direct,True,Bronze
C000113,2024-03-13,Germany,Essen,1997,male,paid_search,True,Bronze
C000114,2023-10-26,Austria,Villach,2004,female,organic_search,False,Bronze
C000115,2024-01-01,Germany,Karlsruhe,2005,male,social_media,False,Bronze
C000116,2024-04-01,Germany,Hanover,1956,female,direct,False,Bronze
C000117,2022-02-23,Switzerland,Basel,1978,male,social_media,False,Bronze
C000118,2022-07-22,Germany,Frankfurt,1972,male,social_media,True,Platinum
C000119,2022-12-21,Germany,Stuttgart,1972,male,paid_search,False,Bronze
C000120,2022-06-15,Germany,Dusseldorf,1975,female,affiliate,False,Bronze
C000121,2023-09-28,Germany,Muenster,1955,not_specified,social_media,False,Bronze
C000122,2024-08-23,Germany,Bremen,1980,female,affiliate,False,Bronze
C000123,2024-08-03,Germany,Leipzig,1958,male,social_media,True,Silver
C000124,2023-11-12,Germany,Augsburg,1967,female,affiliate,False,Silver
C000125,2025-05-20,Germany,Leipzig,1992,female,social_media,True,Bronze
C000126,2024-03-27,Germany,Mannheim,1961,female,organic_search,True,Silver
C000127,2022-04-25,Germany,Hanover,1990,female,paid_search,True,Gold
C000128,2025-01-10,Switzerland,Basel,1998,female,paid_search,True,Platinum
C000129,2024-04-10,Germany,Muenster,2005,male,direct,True,Silver
C000130,2024-07-06,Germany,Nuremberg,1988,female,direct,True,Gold
C000131,2024-03-27,Austria,Villach,2000,male,direct,False,Bronze
C000132,2024-03-10,Germany,Berlin,1979,female,organic_search,False,Bronze
C000133,2022-05-11,Germany,Stuttgart,2001,female,referral,False,Bronze
C000134,2024-03-19,Austria,Linz,1995,female,social_media,True,Silver
C000135,2025-02-22,Germany,Nuremberg,2002,male,organic_search,True,Silver
C000136,2023-03-16,Germany,Karlsruhe,2002,female,social_media,False,Gold
C000137,2024-05-21,Germany,Munich,1990,male,organic_search,False,Silver
C000138,2022-02-14,Germany,Cologne,1966,female,email,True,Bronze
C000139,2023-05-18,Germany,Nuremberg,1957,female,referral,True,Silver
C000140,2023-09-24,Germany,Leipzig,1971,male,referral,True,Bronze
C000141,2025-11-21,Germany,Nuremberg,1970,female,paid_search,False,Silver
C000142,2022-11-07,Austria,Vienna,2003,male,social_media,True,Gold
C000143,2023-02-04,Germany,Bremen,1956,male,email,True,Silver
C000144,2023-08-14,Germany,Berlin,1983,male,organic_search,False,Bronze
C000145,2025-12-05,Germany,,2006,female,organic_search,False,Bronze
C000146,2025-05-18,Switzerland,Geneva,1969,male,referral,True,Bronze
C000147,2022-02-20,Germany,Cologne,1985,male,organic_search,False,Silver
C000148,2022-12-05,Germany,Munich,1963,male,social_media,True,Bronze
C000149,2025-04-02,Germany,Frankfurt,1976,female,organic_search,True,Gold
C000150,2022-03-26,Germany,Essen,2006,female,paid_search,False,Bronze
C000151,2025-05-21,Germany,Hanover,1989,female,social_media,True,Bronze
C000152,2023-02-11,Austria,Villach,1982,male,direct,False,Bronze
C000153,2025-08-19,Germany,Augsburg,2005,female,social_media,True,Bronze
C000154,2023-03-01,Germany,Hamburg,1999,female,email,False,Bronze
C000155,2023-09-20,Germany,Dortmund,1969,male,organic_search,False,Bronze
C000156,2024-08-14,Germany,Augsburg,1988,male,social_media,True,Silver
C000157,2022-07-02,Germany,Cologne,1988,male,social_media,False,Bronze
C000158,2024-03-15,Austria,Innsbruck,1978,female,social_media,True,Silver
C000159,2023-12-31,Germany,Dortmund,1964,male,direct,False,Bronze
C000160,2025-02-06,Germany,Cologne,1999,female,direct,True,Platinum
C000161,2025-12-10,Germany,Hamburg,1963,male,email,True,Bronze
C000162,2024-08-17,Germany,Stuttgart,1973,female,affiliate,True,Silver
C000163,2023-08-15,Germany,Berlin,1967,male,email,False,Bronze
C000164,2023-08-11,Germany,Cologne,,male,affiliate,True,Bronze
C000165,2023-08-27,Germany,Bremen,1960,male,referral,False,Bronze
C000166,2025-03-22,Switzerland,Winterthur,1978,male,direct,True,Bronze
C000167,2023-04-10,Switzerland,Lausanne,1998,female,paid_search,False,Bronze
C000168,2022-08-30,Austria,Klagenfurt,2001,male,paid_search,False,Gold
C000169,2023-04-29,Austria,Vienna,1965,male,direct,True,Silver
C000170,2022-02-02,Germany,Dusseldorf,1981,not_specified,paid_search,True,Bronze
C000171,2022-06-03,Germany,Nuremberg,1980,female,paid_search,True,Silver
C000172,2022-05-11,Germany,Hamburg,,male,email,True,Bronze
C000173,2025-01-19,Austria,Innsbruck,1996,female,organic_search,False,Bronze
C000174,2024-11-09,Germany,Cologne,1992,male,referral,False,Bronze
C000175,2024-10-03,Germany,Dortmund,1959,female,organic_search,False,Bronze
C000176,2023-10-30,Germany,Hanover,1999,female,organic_search,True,Silver
C000177,2024-11-02,Germany,Muenster,1974,male,organic_search,False,Bronze
C000178,2022-08-22,Germany,Hamburg,1999,male,affiliate,True,Bronze
C000179,2025-07-25,Germany,Dresden,1994,male,organic_search,False,Gold
C000180,2023-12-26,Germany,Bremen,1979,female,organic_search,False,Silver
C000181,2025-09-17,Austria,Vienna,1990,female,paid_search,True,Bronze
C000182,2022-08-09,Germany,Hanover,1977,male,direct,True,Bronze
C000183,2023-12-20,Germany,Hamburg,1995,female,paid_search,True,Silver
C000184,2024-10-03,Germany,Nuremberg,1962,male,direct,True,Silver
